name;description;start_time;end_time;owner_employee_id
Общее ежедневное собрание;Обсуждение ежедневных вопросов;2026-01-28T10:00:00;2026-01-28T11:00:00;1
Собрание Backend-разработчиков;Разработка нового микросервиса;2026-01-28T12:00:00;2026-01-28T13:00:00;1
Планирование спринта;Планирование задач на новый спринт;2026-02-05T09:00:00;2026-02-05T10:00:00;1
Ревью кода;Обзор pull request'ов за неделю;2026-02-05T14:00:00;2026-02-05T15:00:00;7
Синхронизация отдела маркетинга;Обсуждение рекламной кампании;2026-02-05T11:00:00;2026-02-05T12:00:00;3
Встреча дизайн-команды;Презентация новых макетов;2026-02-05T16:00:00;2026-02-05T17:00:00;4
Стендап команды разработки;Ежедневный стендап;2026-02-06T10:00:00;2026-02-06T11:00:00;1
QA синхронизация;Обсуждение тест-кейсов;2026-02-06T13:00:00;2026-02-06T14:00:00;5
DevOps митинг;Обсуждение инфраструктуры;2026-02-06T15:00:00;2026-02-06T16:00:00;2
Ретроспектива спринта;Анализ завершенного спринта;2026-02-06T11:00:00;2026-02-06T12:00:00;1
Архитектурный комитет;Обсуждение архитектуры системы;2026-02-07T10:00:00;2026-02-07T11:00:00;1
Frontend синхронизация;Обсуждение компонентов UI;2026-02-07T14:00:00;2026-02-07T15:00:00;6
Встреча с HR отделом;Обсуждение кадровых вопросов;2026-02-07T16:00:00;2026-02-07T17:00:00;11
Android команда;Обсуждение новых фич приложения;2026-02-07T11:00:00;2026-02-07T12:00:00;13
Маркетинговая стратегия;Планирование маркетинговых активностей;2026-02-08T10:00:00;2026-02-08T11:00:00;3
Дизайн-ревью;Обзор дизайн-решений;2026-02-08T14:00:00;2026-02-08T15:00:00;4
Техническое интервью;Интервью кандидатов;2026-02-08T16:00:00;2026-02-08T17:00:00;1
Backend планирование;Планирование backend задач;2026-02-08T11:00:00;2026-02-08T12:00:00;7
Встреча QA команды;Обсуждение автоматизации тестов;2026-02-09T10:00:00;2026-02-09T11:00:00;5
Демо для стейкхолдеров;Презентация новых возможностей;2026-02-09T14:00:00;2026-02-09T15:00:00;1
DevOps планирование;Обсуждение CI/CD улучшений;2026-02-09T16:00:00;2026-02-09T17:00:00;2
Общее собрание отдела;Важные объявления и обновления;2026-02-09T11:00:00;2026-02-09T12:00:00;1
Frontend code review;Обзор frontend кода;2026-02-10T10:00:00;2026-02-10T11:00:00;6
Android ревью;Обзор кода Android приложения;2026-02-10T14:00:00;2026-02-10T15:00:00;13
Маркетинговый отчет;Отчет по результатам кампании;2026-02-10T16:00:00;2026-02-10T17:00:00;3
Дизайн воркшоп;Мозговой штурм дизайн-идей;2026-02-10T11:00:00;2026-02-10T12:00:00;4
HR встреча;Обсуждение benefit программ;2026-02-10T09:00:00;2026-02-10T10:00:00;11
Backend sync;Синхронизация backend команды;2026-02-10T15:00:00;2026-02-10T16:00:00;14
Еженедельный стендап;Обсуждение прогресса по задачам;2026-02-10T13:00:00;2026-02-10T14:00:00;1
