organizer_id,date,start_time,end_time,title,description
1,2026-02-07,14:00:00,15:00:00,Код-ревью сессия,Совместный разбор сложных участков кода и обмен best practices
8,2026-02-07,10:00:00,11:30:00,Ретроспектива спринта,"Обсуждение того, что прошло хорошо, что можно улучшить в следующем спринте"
5,2026-02-06,13:00:00,14:00:00,Тестирование релиза,Координация тестирования перед выпуском новой версии приложения
7,2026-02-06,10:00:00,11:00:00,Обсуждение инфраструктуры,Планирование миграции на новые серверы и оптимизация CI/CD
4,2026-02-05,16:00:00,17:00:00,Дизайн-ревью,Презентация новых UI макетов и обсуждение пользовательского опыта
3,2026-02-05,11:00:00,12:30:00,Анализ требований,Детальный разбор бизнес-требований с аналитикой и командой разработки
2,2026-02-04,15:00:00,16:00:00,Технический дизайн,Проектирование архитектуры нового модуля для Android приложения
10,2026-02-04,09:30:00,10:00:00,Ежедневный стендап,"Короткая синхронизация команды: что сделано, что планируется, есть ли блокеры"
8,2026-02-03,14:00:00,15:30:00,Ревью продукта,Демонстрация новых функций заказчику и обсуждение обратной связи
2,2026-02-03,10:00:00,11:00:00,Планирование спринта,"Обсуждение задач на новый спринт, приоритизация бэклога"
